step,A_t,B_t,M_t,B1_t,B2_t,B3_t,run,R_mis,R_mis_se,R_b1,R_b1_se,R_b2,R_b2_se,R_b3,R_b3_se,A_t_se,B_t_se
16,0.9952,0.83,0.83,0.83,0.8376,0.888,2499.5,0.8294,0.005319692472314541,0.83,0.005312249994117371,0.8376,0.005215865028928567,0.888,0.004459955156725233,0.0009774415583552836,0.005312249994117371
17,0.9946,0.8214,0.8214,0.8214,0.8278,0.8796,2499.5,0.8208,0.005423787606461006,0.8214,0.005416678687166149,0.8278,0.0053394224406765195,0.8796,0.004602256837683007,0.001036420763975709,0.005416678687166149
18,0.9936,0.8124,0.8124,0.8124,0.8206,0.8704,2499.5,0.8118,0.005527761934092315,0.8124,0.0055209825212547085,0.8206,0.005426152227868289,0.8704,0.004749817680711545,0.0011277446519491869,0.0055209825212547085
19,0.9936,0.8002,0.8002,0.8002,0.808,0.862,2499.5,0.7996,0.0056610924740724735,0.8002,0.005654731823879891,0.808,0.005570206459369347,0.862,0.0048776223716068875,0.0011277446519491869,0.005654731823879891
20,0.993,0.7878,0.7878,0.7878,0.7944,0.8542,2499.5,0.7872,0.0057881976469363935,0.7878,0.00578223417028401,0.7944,0.00571539394967661,0.8542,0.004990838807254749,0.0011790674280973083,0.00578223417028401
21,0.9926,0.7764,0.7764,0.7764,0.7866,0.8462,2499.5,0.7758,0.00589803967433248,0.7764,0.005892419536998363,0.7866,0.005794142559516464,0.8462,0.00510187338141589,0.001212042903531056,0.005892419536998363
22,0.9918,0.7668,0.7668,0.7668,0.7776,0.8394,2499.5,0.7662,0.005985608740971966,0.7668,0.005980263539343396,0.7776,0.0058811264227186955,0.8394,0.0051924491331162784,0.0012753634776015805,0.005980263539343396
23,0.9908,0.7542,0.7542,0.7542,0.7658,0.8314,2499.5,0.7536,0.006094046931227228,0.7542,0.006089045245356615,0.7658,0.005989162879735364,0.8314,0.005294790647419404,0.0013502118352317896,0.006089045245356615
24,0.9904,0.7426,0.7426,0.7426,0.7546,0.8232,2499.5,0.742,0.006187665149311169,0.7426,0.006182964337597298,0.7546,0.006085701931576997,0.8232,0.005395215658340266,0.0013789735312905794,0.006182964337597298
25,0.9898,0.733,0.733,0.733,0.7454,0.8148,2499.5,0.7324,0.006260834449176882,0.733,0.006256372751043531,0.7454,0.006160825269393704,0.8148,0.00549365015267627,0.0014209827585160903,0.006256372751043531
26,0.9894,0.7224,0.7224,0.7224,0.7348,0.8064,2499.5,0.7218,0.006337266918790781,0.7224,0.006333059923923031,0.7348,0.006242899326434794,0.8064,0.005587826768968416,0.0014482845024372838,0.006333059923923031
27,0.989,0.7132,0.7132,0.7132,0.7264,0.798,2499.5,0.7126,0.006400019374970672,0.7132,0.006396026266362577,0.7264,0.006304649712712039,0.798,0.0056779573791989665,0.0014750593208410305,0.006396026266362577
