step,A_t,B_t,M_t,B1_t,B2_t,B3_t,run,R_mis,R_mis_se,R_b1,R_b1_se,R_b2,R_b2_se,R_b3,R_b3_se,A_t_se,B_t_se
39,1.0,0.4914,0.4914,0.4914,0.5478,0.7896,2499.5,0.491,0.007069922206078367,0.4914,0.0070700217821446625,0.5478,0.007038681126461122,0.7896,0.0057642317788236105,0.0,0.0070700217821446625
40,1.0,0.4738,0.4738,0.4738,0.5302,0.7792,2499.5,0.4734,0.007061054312211456,0.4738,0.007061353411351113,0.5302,0.007058157833315999,0.7792,0.005865958745166897,0.0,0.007061353411351113
41,1.0,0.46,0.46,0.46,0.5144,0.773,2499.5,0.4596,0.007047947786412723,0.46,0.0070484040746824385,0.5144,0.007068134690284276,0.773,0.005924035786522563,0.0,0.0070484040746824385
42,1.0,0.4436,0.4436,0.4436,0.4972,0.7646,2499.5,0.4432,0.007025293730514049,0.4436,0.007025938229161996,0.4972,0.0070709569366529165,0.7646,0.005999780662657595,0.0,0.007025938229161996
43,1.0,0.427,0.427,0.427,0.4788,0.754,2499.5,0.4266,0.006994461237293406,0.427,0.006995298421082549,0.4788,0.007064708911200801,0.754,0.006090714243830521,0.0,0.006995298421082549
44,1.0,0.41,0.41,0.41,0.461,0.7428,2499.5,0.4096,0.006954535786089536,0.41,0.0069555733049116815,0.461,0.0070495248066802345,0.7428,0.0061813940175335855,0.0,0.0069555733049116815
45,1.0,0.3954,0.3952,0.3954,0.4412,0.7294,2499.5,0.3948,0.006912784677682359,0.3954,0.006914605411735365,0.4412,0.007022001993733695,0.7294,0.006282923523328929,0.0,0.006914605411735365
46,1.0,0.3804,0.3804,0.3804,0.4216,0.7156,2499.5,0.3798,0.006863701042440587,0.3804,0.006865796967577762,0.4216,0.006983601363193635,0.7156,0.006379915986907664,0.0,0.006865796967577762
47,1.0,0.3638,0.3638,0.3638,0.4038,0.7032,2499.5,0.3632,0.006801261059538885,0.3638,0.006803669010173849,0.4038,0.006938956117457438,0.7032,0.006460801188707171,0.0,0.006803669010173849
48,1.0,0.3478,0.3478,0.3478,0.3866,0.6954,2499.5,0.3472,0.006732787832688626,0.3478,0.006735505326254297,0.3866,0.006886805355170131,0.6954,0.006508745501246764,0.0,0.006735505326254297
49,1.0,0.3354,0.3354,0.3354,0.3736,0.6836,2499.5,0.3348,0.006673963739787623,0.3354,0.006676928036155549,0.3736,0.006841389332584428,0.6836,0.006577097232062181,0.0,0.006676928036155549
50,1.0,0.3234,0.3234,0.3234,0.359,0.6714,2499.5,0.3228,0.006612112521728589,0.3234,0.006615322214374747,0.359,0.006784084315513774,0.6714,0.006642620567215924,0.0,0.006615322214374747
51,1.0,0.3108,0.3108,0.3108,0.3412,0.6608,2499.5,0.3102,0.006541803421075873,0.3108,0.00654527860369595,0.3412,0.006704961744857311,0.6608,0.006695421719354203,0.0,0.00654527860369595
52,1.0,0.299,0.299,0.299,0.3252,0.646,2499.5,0.2984,0.0064708181862883464,0.299,0.006474550177425456,0.3252,0.0066248767535705905,0.646,0.006762898786762966,0.0,0.006474550177425456
53,1.0,0.2876,0.2876,0.2876,0.312,0.6372,2499.5,0.287,0.006397358830017275,0.2876,0.006401347358173903,0.312,0.006552190473421846,0.6372,0.006799649402726585,0.0,0.006401347358173903
54,1.0,0.277,0.277,0.277,0.3004,0.6276,2499.5,0.2764,0.006324603386774541,0.277,0.006328838756043639,0.3004,0.006483206614014395,0.6276,0.006836932645565554,0.0,0.006328838756043639
55,1.0,0.2616,0.2616,0.2616,0.2868,0.6156,2499.5,0.2612,0.006212480342021212,0.2616,0.0062155521074157205,0.2868,0.006396026266362577,0.6156,0.006879486027313377,0.0,0.0062155521074157205
56,1.0,0.2506,0.2506,0.2506,0.274,0.6048,2499.5,0.2502,0.006125356479422238,0.2506,0.006128615504337012,0.274,0.0063075193222058385,0.6048,0.006913999710731843,0.0,0.006128615504337012
57,1.0,0.2402,0.24,0.2402,0.2604,0.5916,2499.5,0.2398,0.006038144748182176,0.2402,0.006041588532828101,0.2604,0.006206316782118038,0.5916,0.006951394680206268,0.0,0.006041588532828101
58,1.0,0.2324,0.2324,0.2324,0.251,0.5796,2499.5,0.232,0.005969522593976841,0.2324,0.005973110412507038,0.251,0.006131867578478844,0.5796,0.006980885903665809,0.0,0.005973110412507038
59,1.0,0.2228,0.2228,0.2228,0.2404,0.566,2499.5,0.2224,0.0058811264227186955,0.2228,0.005884898639738836,0.2404,0.006043307703567642,0.566,0.007009193962218481,0.0,0.005884898639738836
60,1.0,0.2138,0.2138,0.2138,0.2286,0.5542,2499.5,0.2134,0.005794142559516464,0.2138,0.005798095549402407,0.2286,0.005938721074440186,0.5542,0.007029400543431851,0.0,0.005798095549402407
61,1.0,0.206,0.206,0.206,0.2178,0.5422,2499.5,0.2056,0.00571539394967661,0.206,0.005719510468562847,0.2178,0.005837176714816847,0.5422,0.007045837920361212,0.0,0.005719510468562847
62,1.0,0.1998,0.1998,0.1998,0.2086,0.5312,2499.5,0.1994,0.005650480333564572,0.1998,0.005654731823879892,0.2086,0.005746060215486782,0.5312,0.007057287864328619,0.0,0.005654731823879892
63,1.0,0.1924,0.1924,0.1924,0.1988,0.5216,2499.5,0.192,0.0055702064593693475,0.1924,0.005574625368578592,0.1988,0.0056440864628387825,0.5216,0.007064466575757862,0.0,0.005574625368578592
64,1.0,0.1858,0.1858,0.1858,0.191,0.511,2499.5,0.1854,0.005495941047718762,0.1858,0.005500515612194915,0.191,0.005559118635179501,0.511,0.007069356406349874,0.0,0.005500515612194915
65,1.0,0.1786,0.1786,0.1786,0.182,0.5012,2499.5,0.1782,0.005411926828773649,0.1786,0.00541667868716615,0.182,0.00545666564854399,0.5012,0.007071047447160852,0.0,0.00541667868716615
66,1.0,0.17,0.17,0.17,0.174,0.4914,2499.5,0.1696,0.005307275007006892,0.17,0.005312249994117371,0.174,0.00536141772295351,0.4914,0.0070700217821446625,0.0,0.005312249994117371
67,1.0,0.1622,0.1622,0.1622,0.1642,0.4812,2499.5,0.1618,0.005208085252758446,0.1622,0.00521327459472451,0.1642,0.005239052586107531,0.4812,0.007066067647567492,0.0,0.00521327459472451
68,1.0,0.155,0.155,0.155,0.1546,0.4714,2499.5,0.1548,0.005115407315160738,0.155,0.005118105118107678,0.1546,0.005112706523946,0.4714,0.007059490633183105,0.0,0.005118105118107678
69,0.9998,0.1484,0.1484,0.1484,0.1474,0.4606,2499.5,0.1482,0.00502467431780409,0.1484,0.005027473321659698,0.1474,0.005013446718575954,0.4606,0.007049079939963797,0.00019997999899988897,0.005027473321659698
70,0.9998,0.143,0.143,0.143,0.1412,0.451,2499.5,0.1428,0.004947891672217572,0.143,0.004950777716682501,0.1412,0.004924683949249942,0.451,0.007037030623778754,0.00019997999899988897,0.004950777716682501
71,0.9998,0.1368,0.1368,0.1368,0.1344,0.4418,2499.5,0.1366,0.004856756942652164,0.1368,0.004859748141622156,0.1344,0.004823621875727823,0.4418,0.007023001637476671,0.00019997999899988897,0.004859748141622156
72,0.9998,0.1286,0.1286,0.1286,0.1268,0.4314,2499.5,0.1284,0.004731034559163566,0.1286,0.0047341744792519,0.1268,0.004705778575326297,0.4314,0.007004199311841433,0.00019997999899988897,0.0047341744792519
73,0.9998,0.1236,0.1236,0.1236,0.1208,0.421,2499.5,0.1234,0.004651288853640462,0.1236,0.004654525539730124,0.1208,0.004608847144351828,0.421,0.006982248921371967,0.00019997999899988897,0.004654525539730124
74,0.9998,0.1168,0.1168,0.1168,0.1136,0.4118,2499.5,0.1166,0.004538820110998011,0.1168,0.004542196825325824,0.1136,0.004487650610285966,0.4118,0.006960183330918806,0.00019997999899988897,0.004542196825325824
75,0.9998,0.1112,0.1112,0.1112,0.108,0.4026,2499.5,0.111,0.004442499296567193,0.1112,0.004445999550157422,0.108,0.0043894418779612514,0.4026,0.006935607255316581,0.00019997999899988897,0.004445999550157422
76,0.9998,0.1052,0.1052,0.1052,0.103,0.3942,2499.5,0.105,0.004335320057389074,0.1052,0.00433896208787309,0.103,0.004298627687995321,0.3942,0.006910953045709397,0.00019997999899988897,0.00433896208787309
77,0.9998,0.1002,0.1002,0.1002,0.098,0.384,2499.5,0.1,0.004242640687119285,0.1002,0.004246409306696659,0.098,0.004204664076950738,0.384,0.006878139283265497,0.00019997999899988897,0.004246409306696659
78,0.9998,0.0964,0.0964,0.0964,0.094,0.3756,2499.5,0.0962,0.004170025419586792,0.0964,0.004173896021704422,0.094,0.00412708129311745,0.3756,0.006848717252157516,0.00019997999899988897,0.004173896021704422
79,0.9996,0.0926,0.0926,0.0926,0.088,0.3682,2499.5,0.0924,0.004095417927391537,0.0926,0.0040993960530790385,0.088,0.004006394888175653,0.3682,0.006820978815390061,0.0002827861382741226,0.0040993960530790385
80,0.9996,0.0862,0.0862,0.0862,0.0818,0.3574,2499.5,0.086,0.0039649464056907505,0.0862,0.003969119801668879,0.0818,0.003875790500014158,0.3574,0.006777392418917471,0.0002827861382741226,0.003969119801668879
81,0.9996,0.0802,0.0802,0.0802,0.077,0.3474,2499.5,0.0802,0.003841040484035543,0.0802,0.003841040484035543,0.077,0.0037701724098507753,0.3474,0.00673369497378668,0.0002827861382741226,0.003841040484035543
82,0.9996,0.0764,0.0764,0.0764,0.0734,0.3378,2499.5,0.0764,0.003756675125692931,0.0764,0.003756675125692931,0.0734,0.0036881550943527307,0.3378,0.006688664440678722,0.0002827861382741226,0.003756675125692931
83,0.9996,0.0714,0.0714,0.0714,0.0686,0.3296,2499.5,0.0714,0.0036414843127494045,0.0714,0.0036414843127494045,0.0686,0.00357474586509307,0.3296,0.0066477641354067305,0.0002827861382741226,0.0036414843127494045
84,0.9996,0.0682,0.0682,0.0682,0.0646,0.3228,2499.5,0.0682,0.0035650739122772756,0.0682,0.0035650739122772756,0.0646,0.003476401587849137,0.3228,0.006612112521728589,0.0002827861382741226,0.0035650739122772756
85,0.9996,0.0656,0.0656,0.0656,0.062,0.3146,2499.5,0.0656,0.0035013323178470224,0.0656,0.0035013323178470224,0.062,0.003410454515163631,0.3146,0.006566990787263219,0.0002827861382741226,0.0035013323178470224
86,0.9996,0.0604,0.0604,0.0604,0.0564,0.308,2499.5,0.0604,0.0033690307211422105,0.0604,0.0033690307211422105,0.0564,0.0032624849424939878,0.308,0.006528950911134192,0.0002827861382741226,0.0033690307211422105
87,0.9996,0.058,0.058,0.058,0.0538,0.2996,2499.5,0.058,0.003305631558416636,0.058,0.003305631558416636,0.0538,0.0031907854832313627,0.2996,0.006478268904576283,0.0002827861382741226,0.003305631558416636
