quantity,copula,K,kappa,estimate,SE,band_low,band_high,critical_value
Delta_RMST_vs_independence,gaussian,21,0.9130434782608695,21.5434,0.5410106115265724,20.045247606944116,23.04155239305588,2.7691737669036454
Delta_RMST_vs_independence,gaussian,22,0.9565217391304348,21.7016,0.5097841184830032,20.289919192312766,23.113280807687232,2.7691737669036454
Delta_RMST_vs_independence,gaussian,23,1.0,19.6306,0.4524325449937834,18.377735665109764,20.88346433489024,2.7691737669036454
Delta_RMST_vs_independence,student_t,2,0.08695652173913043,-10.4066,0.3598159373759819,-11.373602362684755,-9.439597637315243,2.687491748522266
Delta_RMST_vs_independence,student_t,3,0.13043478260869565,-10.9588,0.4074863304871763,-12.053916150819903,-9.863683849180097,2.687491748522266
Delta_RMST_vs_independence,student_t,4,0.17391304347826086,-13.986,0.4680587319934521,-15.243903980056198,-12.728096019943804,2.687491748522266
Delta_RMST_vs_independence,student_t,5,0.21739130434782608,-11.1064,0.49794614757137834,-12.44462616280653,-9.768173837193471,2.687491748522266
Delta_RMST_vs_independence,student_t,6,0.2608695652173913,-9.4726,0.5231505587777103,-10.878562809949909,-8.066637190050091,2.687491748522266
Delta_RMST_vs_independence,student_t,7,0.30434782608695654,-7.3346,0.5247069963840885,-8.744745723174141,-5.92445427682586,2.687491748522266
Delta_RMST_vs_independence,student_t,8,0.34782608695652173,-5.8734,0.5331326294348461,-7.306189542474128,-4.440610457525873,2.687491748522266
Delta_RMST_vs_independence,student_t,9,0.391304347826087,-4.658,0.537977705116337,-6.103810643389101,-3.2121893566108994,2.687491748522266
Delta_RMST_vs_independence,student_t,10,0.43478260869565216,-3.9702,0.5300780121187697,-5.394780283642279,-2.545619716357721,2.687491748522266
Delta_RMST_vs_independence,student_t,11,0.4782608695652174,-2.9478,0.5331247691074648,-4.380568417909149,-1.5150315820908502,2.687491748522266
Delta_RMST_vs_independence,student_t,12,0.5217391304347826,-1.8526,0.5235839213273589,-3.2597274682262083,-0.44547253177379176,2.687491748522266
Delta_RMST_vs_independence,student_t,13,0.5652173913043478,-0.6824,0.5347893659948717,-2.1196420083086718,0.7548420083086719,2.687491748522266
Delta_RMST_vs_independence,student_t,14,0.6086956521739131,0.7016,0.5434840811627277,-0.7590089835780363,2.1622089835780365,2.687491748522266
Delta_RMST_vs_independence,student_t,15,0.6521739130434783,3.2066,0.5575545145502266,1.708176842794928,4.705023157205072,2.687491748522266
Delta_RMST_vs_independence,student_t,16,0.6956521739130435,6.0066,0.571213522481438,4.471468371686798,7.541731628313202,2.687491748522266
Delta_RMST_vs_independence,student_t,17,0.7391304347826086,9.4752,0.5794240445793458,7.91800266129761,11.032397338702388,2.687491748522266
Delta_RMST_vs_independence,student_t,18,0.782608695652174,13.1166,0.578140960564166,11.562850939001066,14.670349060998934,2.687491748522266
Delta_RMST_vs_independence,student_t,19,0.8260869565217391,16.936,0.5771239340098804,15.384984189473737,18.487015810526263,2.687491748522266
Delta_RMST_vs_independence,student_t,20,0.8695652173913043,19.7184,0.553517241425514,18.230826981004125,21.205973018995874,2.687491748522266
Delta_RMST_vs_independence,student_t,21,0.9130434782608695,22.067,0.5328953534152261,20.634848134870722,23.499151865129278,2.687491748522266
Delta_RMST_vs_independence,student_t,22,0.9565217391304348,22.5126,0.5005059734847305,21.16749432617368,23.857705673826317,2.687491748522266
Delta_RMST_vs_independence,student_t,23,1.0,20.6212,0.4442940260101518,19.42716347117998,21.815236528820023,2.687491748522266
Delta_RMST_vs_independence,clayton,2,0.08695652173913043,-11.6416,0.3938489726921564,-12.686986637135785,-10.596213362864216,2.6542830110487268
Delta_RMST_vs_independence,clayton,3,0.13043478260869565,-12.8478,0.43535754762132267,-14.003362142383112,-11.692237857616886,2.6542830110487268
Delta_RMST_vs_independence,clayton,4,0.17391304347826086,-15.6268,0.47535710495105526,-16.888532287852893,-14.365067712147107,2.6542830110487268
Delta_RMST_vs_independence,clayton,5,0.21739130434782608,-12.7598,0.49539501817922843,-14.074718580511302,-11.444881419488699,2.6542830110487268
Delta_RMST_vs_independence,clayton,6,0.2608695652173913,-11.111,0.5141832092499059,-12.475787756878539,-9.746212243121462,2.6542830110487268
Delta_RMST_vs_independence,clayton,7,0.30434782608695654,-8.2128,0.5059920837619548,-9.555846191654501,-6.869753808345498,2.6542830110487268
Delta_RMST_vs_independence,clayton,8,0.34782608695652173,-6.836,0.5169169192629339,-8.208043796923253,-5.463956203076748,2.6542830110487268
Delta_RMST_vs_independence,clayton,9,0.391304347826087,-5.2724,0.5006001196004153,-6.601134392784344,-3.943665607215657,2.6542830110487268
Delta_RMST_vs_independence,clayton,10,0.43478260869565216,-4.1614,0.5014558022321794,-5.492405616656685,-2.8303943833433163,2.6542830110487268
Delta_RMST_vs_independence,clayton,11,0.4782608695652174,-3.0414,0.49180621374518735,-4.3467928778720495,-1.7360071221279503,2.6542830110487268
Delta_RMST_vs_independence,clayton,12,0.5217391304347826,-1.8712,0.4908249218741725,-3.1739882515299347,-0.5684117484700653,2.6542830110487268
Delta_RMST_vs_independence,clayton,13,0.5652173913043478,-0.38,0.4892984800717463,-1.6787366429864004,0.9187366429864002,2.6542830110487268
Delta_RMST_vs_independence,clayton,14,0.6086956521739131,1.3016,0.49660641465270555,-0.0165339695904958,2.619733969590496,2.6542830110487268
Delta_RMST_vs_independence,clayton,15,0.6521739130434783,4.1672,0.49760137686510886,2.846425119112487,5.4879748808875135,2.6542830110487268
Delta_RMST_vs_independence,clayton,16,0.6956521739130435,7.3024,0.5073024955708401,5.955875604543697,8.648924395456302,2.6542830110487268
Delta_RMST_vs_independence,clayton,17,0.7391304347826086,11.2696,0.5171678215812955,9.896890237315688,12.642309762684313,2.6542830110487268
Delta_RMST_vs_independence,clayton,18,0.782608695652174,15.3836,0.5202525374743988,14.002702528326711,16.764497471673288,2.6542830110487268
Delta_RMST_vs_independence,clayton,19,0.8260869565217391,19.7168,0.5270988580837933,18.317730455845002,21.115869544154997,2.6542830110487268
