copula,K,kappa,RMST,SE,CI_low,CI_high
gaussian,16,0.6956521739130435,60.976,0.47544039953994544,60.044136816901705,61.90786318309829
gumbel,16,0.6956521739130435,60.3108,0.49575921182689303,59.33911194481929,61.282488055180714
independence,16,0.6956521739130435,54.818,0.2991189556513027,54.23172684692344,55.40427315307655
student_t,16,0.6956521739130435,60.8246,0.481063334036456,59.88171586528854,61.76748413471145
clayton,17,0.7391304347826086,60.1956,0.4856892905401447,59.24364899054132,61.14755100945868
gaussian,17,0.7391304347826086,58.3916,0.4831097689943555,57.44470485277106,59.33849514722893
gumbel,17,0.7391304347826086,57.7892,0.5103528237140798,56.78890846552041,58.789491534479595
independence,17,0.7391304347826086,48.926,0.3084306254089208,48.32147597419852,49.53052402580148
student_t,17,0.7391304347826086,58.4012,0.4875200743318938,57.44566065430949,59.356739345690514
clayton,18,0.782608695652174,57.6202,0.486167277916175,56.66731213528429,58.5730878647157
gaussian,18,0.782608695652174,55.2976,0.4888486897356801,54.33945656811807,56.25574343188194
gumbel,18,0.782608695652174,54.9564,0.5198772107631322,53.937440666904266,55.97535933309574
independence,18,0.782608695652174,42.2366,0.3013455921714871,41.645962639343885,42.82723736065612
student_t,18,0.782608695652174,55.3532,0.4904122661497753,54.391991958346445,56.31440804165356
clayton,19,0.8260869565217391,54.9618,0.488742470010944,54.00386475877855,55.919735241221446
gaussian,19,0.8260869565217391,51.9366,0.4949547778680663,50.96648863537859,52.90671136462141
gumbel,19,0.8260869565217391,52.1686,0.5312683728821103,51.12731398915106,53.20988601084893
independence,19,0.8260869565217391,35.245,0.2889965030856933,34.67856685395204,35.81143314604795
student_t,19,0.8260869565217391,52.181,0.4956685033901696,51.20948973335526,53.15251026664473
clayton,20,0.8695652173913043,51.7324,0.4843379343959535,50.78309764858393,52.681702351416064
gaussian,20,0.8695652173913043,47.974,0.4929500428531778,47.00781791600777,48.94018208399223
gumbel,20,0.8695652173913043,48.8112,0.5343273641302789,47.76391836630465,49.85848163369535
independence,20,0.8695652173913043,28.5128,0.2596038637332138,28.0039764270829,29.021623572917097
student_t,20,0.8695652173913043,48.2312,0.4897049637305103,47.2713782710882,49.1910217289118
clayton,21,0.9130434782608695,47.6224,0.4736282385898014,46.69408865236399,48.55071134763601
gaussian,21,0.9130434782608695,43.1032,0.4900139311106742,42.142772695023076,44.063627304976926
gumbel,21,0.9130434782608695,44.9114,0.5350161478532145,43.8627683502077,45.9600316497923
independence,21,0.9130434782608695,21.5598,0.22815489414681558,21.11261640747224,22.006983592527757
student_t,21,0.9130434782608695,43.6268,0.48205400067203336,42.68197415868282,44.571625841317186
clayton,22,0.9565217391304348,42.5324,0.4540447349901488,41.64247231941931,43.42232768058069
gaussian,22,0.9565217391304348,36.9392,0.47084859599670714,36.01633675184645,37.86206324815355
gumbel,22,0.9565217391304348,40.6082,0.53280258470737,39.56390693397355,41.652493066026445
