family,rho,df,kendall_tau,RMST,SE,CI_low,CI_high,delta_RMST_vs_independence,delta_SE,delta_CI_low,delta_CI_high
gumbel,0.6,3.0,0.4096655293982669,54.9564,0.5198772107631322,53.937440666904266,55.97535933309574,12.7198,0.6128981207454324,11.518519683338951,13.921080316661048
gumbel,0.8,3.0,0.5903344706017332,60.439,0.54376972415038,59.37321134066526,61.50478865933474,18.2024,0.6375743306104871,16.952754312003446,19.452045687996556
independence,0.0,,0.0,42.2366,0.3013455921714871,41.645962639343885,42.82723736065612,,,,
student_t,0.0,3.0,0.0,41.6514,0.32315454720655884,41.018017087475144,42.28478291252486,-0.5852,0.44711892294808053,-1.461553088978238,0.2911530889782378
student_t,0.2,3.0,0.12818843369794988,46.45,0.40317282853130515,45.659781256078645,47.24021874392136,4.2134,0.5049508561844729,3.223696321878433,5.2031036781215665
student_t,0.4,3.0,0.2619797608689093,50.8058,0.4524033499325641,49.919089434132175,51.69251056586782,8.5692,0.5454335356579791,7.500150270110361,9.63824972988964
student_t,0.6,3.0,0.4096655293982669,55.3532,0.4904122661497753,54.391991958346445,56.31440804165356,13.1166,0.5781409605641658,11.983443717294236,14.249756282705764
student_t,0.8,3.0,0.5903344706017332,60.3258,0.5221171249158814,59.30245043516487,61.34914956483513,18.0892,0.6067979972230353,16.899875925442853,19.27852407455715
student_t,0.0,5.0,0.0,41.691,0.3163929276974114,41.07086986171308,42.31113013828693,-0.5456,0.44191365860802817,-1.4117507708717352,0.3205507708717352
student_t,0.2,5.0,0.12818843369794988,46.5804,0.40317521900464554,45.790176570750894,47.3706234292491,4.3438,0.505018464060284,3.353963810441843,5.333636189558156
student_t,0.4,5.0,0.2619797608689093,50.8862,0.4527629498642241,49.99878461826612,51.77361538173388,8.6496,0.545560346053704,7.58030172173474,9.718898278265259
student_t,0.6,5.0,0.4096655293982669,55.2336,0.49158297058725936,54.27009737764897,56.19710262235103,12.997,0.5794616754943103,11.861255116031153,14.132744883968847
student_t,0.8,5.0,0.5903344706017332,60.2214,0.521054523031126,59.200133134858994,61.24266686514101,17.9848,0.6060018163605505,16.797036439933322,19.172563560066678
student_t,0.0,10.0,0.0,41.9172,0.30824995123841903,41.3130300955727,42.5213699044273,-0.3194,0.4365079433010503,-1.1749555688700586,0.5361555688700586
student_t,0.2,10.0,0.12818843369794988,46.5968,0.3992838732960484,45.814203608339746,47.37939639166026,4.3602,0.5017509760831563,3.3767680868770134,5.343631913122986
student_t,0.4,10.0,0.2619797608689093,50.8586,0.45083244247307364,49.97496841275278,51.742231587247225,8.622,0.5442483481397904,7.555273237646011,9.688726762353989
student_t,0.6,10.0,0.4096655293982669,55.2246,0.49152769083966413,54.26120572595426,56.18799427404574,12.988,0.5796271601028938,11.851930766198327,14.124069233801672
student_t,0.8,10.0,0.5903344706017332,60.2658,0.5212923356542298,59.24406702211771,61.287532977882286,18.0292,0.6059968943148007,16.84144608714299,19.216953912857008
student_t,0.0,30.0,0.0,42.1346,0.3026426524517266,41.541420401194614,42.727779598805384,-0.102,0.43246341362111107,-0.9496282906973776,0.7456282906973777
student_t,0.2,30.0,0.12818843369794988,46.5576,0.39536519722382646,45.7826842134413,47.3325157865587,4.321,0.4983088742404948,3.3443146064886298,5.29768539351137
student_t,0.4,30.0,0.2619797608689093,50.9328,0.4497266143308927,50.05133583591145,51.81426416408855,8.6962,0.5438402831371656,7.630273045051155,9.762126954948844
student_t,0.6,30.0,0.4096655293982669,55.2438,0.49108669859924753,54.28127007074548,56.20632992925452,13.0072,0.5798858880509441,11.870623659420149,14.14377634057985
student_t,0.8,30.0,0.5903344706017332,60.2554,0.5199212419083851,59.23635436585957,61.274445634140434,18.0188,0.6050188913445403,16.8329629729647,19.204637027035297
